PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_KELUARGA,JUMLAH_SASARAN,JUMLAH_KRS,PENERIMA_BAAS,PENERIMA_BANTUAN_PANGAN,JUMLAH_BALITA_STUNTING,SUMBER_AIR_MINUM,SANITASI,TERLALU_MUDA,TERLALU_TUA,TERLALU_DEKAT,TERLALU_BANYAK,KB_MODERN,CATIN_SASARAN,CATIN_TERDAMPINGI,CATIN_TIDAK_TERDAMPINGI,CATIN_BERESIKO,BUMIL_SASARAN,BUMIL_TERDAMPINGI,BUMIL_TIDAK_TERDAMPINGI,BUMIL_BERESIKO,PASCASALIN_SASARAN,PASCASALIN_TERDAMPINGI,PASCASALIN_TIDAK_TERDAMPINGI,PASCASALIN_BERESIKO,BADUTA_SASARAN,BADUTA_TERDAMPINGI,BADUTA_TIDAK_TERDAMPINGI,BADUTA_BERESIKO,BULAN,
SULAWESI BARAT,POLEWALI,WONOMULYO,SIDOREJO,1151,649,164,,,,4,7,3,158,2,198,337,2,0,2,0,23,1,22,1,22,0,22,0,50,1,49,0,JANUARI,
SULAWESI BARAT,POLEWALI,WONOMULYO,SUGIHWARAS,1445,852,238,,,,2,77,5,190,9,246,420,4,4,0,4,24,6,18,3,23,0,23,0,70,2,68,0,JANUARI,
SULAWESI BARAT,POLEWALI,WONOMULYO,SUMBEREJO,1347,826,169,,,,2,29,5,187,3,168,361,2,0,2,0,37,8,29,5,36,0,36,0,77,0,77,0,JANUARI,
SULAWESI BARAT,POLEWALI,WONOMULYO,TUMPILING,721,418,79,,,,12,2,11,97,5,126,149,2,0,2,0,29,0,29,0,28,0,28,0,75,0,75,0,JANUARI,Jan
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,1283,636,190,,,,0,86,2,161,7,230,233,5,4,1,3,18,0,18,0,17,0,17,0,36,8,28,0,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,BARU,1544,904,535,,,,20,432,17,222,20,337,357,5,1,4,1,52,17,35,17,50,0,50,0,140,5,135,0,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,908,503,329,,,,12,248,7,132,12,247,267,3,0,3,0,33,3,30,3,32,0,32,0,66,6,60,1,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,619,404,162,,,,7,129,10,79,8,161,128,2,3,-1,2,28,8,20,8,27,0,27,0,95,1,94,1,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,652,424,217,,,,81,164,8,94,11,183,106,2,0,2,0,25,17,8,17,24,0,24,0,100,0,100,0,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,2622,1463,540,,,,1,354,23,343,27,649,467,10,1,9,1,69,0,69,0,67,0,67,0,152,21,131,12,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,2105,1454,625,,,,6,519,6,353,39,670,320,8,0,8,0,72,16,56,15,70,0,70,0,195,0,195,0,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,1424,906,528,,,,17,391,19,221,18,380,427,5,2,3,1,45,7,38,7,44,0,44,0,164,6,158,1,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,527,291,102,,,,10,63,3,80,3,114,94,2,1,1,1,14,4,10,0,14,0,14,0,27,14,13,12,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,440,230,115,,,,66,42,4,52,4,90,77,1,1,0,1,22,0,22,0,21,0,21,0,36,8,28,2,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,1419,889,319,,,,0,182,18,210,15,338,340,5,0,5,0,51,8,43,0,50,0,50,0,137,8,129,0,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,266,172,89,,,,35,35,1,29,3,63,72,1,0,1,0,12,12,0,0,12,0,12,0,17,1,16,0,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,1354,612,201,,,,0,59,5,157,12,198,357,5,0,5,0,27,16,11,12,26,0,26,0,103,9,94,6,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,1356,730,362,,,,2,146,9,193,8,323,451,6,1,5,1,34,15,19,15,33,0,33,0,109,10,99,1,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,1633,1052,406,,,,0,93,16,264,25,402,636,6,0,6,0,41,26,15,14,40,0,40,0,204,6,198,4,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,471,208,116,,,,73,18,1,53,8,90,84,2,0,2,0,15,6,9,0,15,0,15,0,32,4,28,1,FEBRUARI,
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,571,305,102,,,,0,26,2,68,5,114,174,1,0,1,0,13,5,8,5,13,1,12,0,61,1,60,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,420,305,277,,,,5,264,14,59,10,121,132,1,0,1,0,32,0,32,0,31,0,31,0,55,0,55,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,456,292,133,,,,11,73,11,52,5,112,141,1,0,1,0,14,0,14,0,14,0,14,0,51,0,51,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,530,343,194,,,,51,77,4,96,12,158,202,2,1,1,1,22,3,19,2,21,0,21,0,76,0,76,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,277,200,114,,,,48,58,2,30,1,93,88,1,0,1,0,13,0,13,0,13,0,13,0,18,0,18,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,270,192,173,,,,173,4,3,43,2,75,29,1,0,1,0,5,0,5,0,5,0,5,0,24,0,24,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,544,349,171,,,,82,40,6,77,6,185,137,2,0,2,0,18,0,18,0,17,0,17,0,36,0,36,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,323,227,158,,,,128,32,7,43,3,98,103,1,0,1,0,14,4,10,4,14,0,14,0,66,0,66,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,500,330,111,,,,0,19,6,82,8,158,177,2,0,2,0,14,0,14,0,14,0,14,0,69,0,69,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,609,350,131,,,,10,34,0,101,8,173,171,2,0,2,0,5,0,5,0,5,0,5,0,30,0,30,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,598,419,153,,,,0,90,11,86,14,182,178,2,0,2,0,20,0,20,0,19,0,19,0,78,0,78,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,307,221,98,,,,6,63,7,41,3,88,69,1,0,1,0,18,0,18,0,17,0,17,0,72,0,72,0,FEBRUARI,
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,254,189,145,,,,23,134,20,31,7,106,78,1,0,1,0,21,2,19,2,20,0,20,0,35,0,35,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,265,167,33,,,,5,8,2,42,9,83,52,1,0,1,0,7,0,7,0,7,0,7,0,29,0,29,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,268,169,81,,,,15,48,5,39,3,81,64,0,0,0,0,11,0,11,0,11,0,11,0,46,0,46,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,470,322,172,,,,6,86,9,73,4,153,167,1,0,1,0,29,0,29,0,28,0,28,0,53,0,53,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,343,207,74,,,,1,41,3,46,4,98,69,1,0,1,0,16,0,16,0,16,0,16,0,50,0,50,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,394,210,56,,,,5,28,2,41,6,81,65,1,0,1,0,7,0,7,0,7,0,7,0,47,0,47,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,244,168,84,,,,9,64,8,31,9,89,55,1,0,1,0,10,0,10,0,10,0,10,0,72,0,72,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,290,188,90,,,,2,63,3,33,9,83,70,1,1,0,1,10,0,10,0,10,0,10,0,75,0,75,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,629,394,157,,,,18,102,3,67,9,182,110,1,0,1,0,25,0,25,0,24,0,24,0,81,0,81,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,934,673,377,,,,3,278,35,122,11,273,296,1,1,0,1,54,3,51,3,52,0,52,0,152,0,152,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,267,168,41,,,,2,21,2,33,3,60,55,0,0,0,0,12,0,12,0,12,0,12,0,46,3,43,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,537,295,79,,,,1,17,3,78,7,113,116,1,0,1,0,13,0,13,0,13,0,13,0,61,0,61,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,284,172,47,,,,0,15,4,35,4,88,60,1,2,-1,2,10,0,10,0,10,0,10,0,40,0,40,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,241,141,67,,,,39,18,2,20,3,52,70,0,1,-1,1,13,0,13,0,13,0,13,0,32,3,29,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,469,248,69,,,,1,16,0,72,3,108,112,1,3,-2,3,22,0,22,0,21,0,21,0,63,0,63,0,FEBRUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,663,348,147,,,,6,52,6,77,8,150,210,1,0,1,0,23,0,23,0,22,0,22,0,65,0,65,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,428,231,214,,,,1,203,3,60,9,113,134,1,1,0,1,22,0,22,0,21,0,21,0,44,0,44,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,218,129,26,,,,0,2,2,21,2,50,58,1,3,-2,2,5,0,5,0,5,0,5,0,28,0,28,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,386,245,82,,,,1,6,4,51,9,132,131,1,1,0,1,9,11,-2,11,9,0,9,0,51,0,51,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,332,189,65,,,,4,37,8,53,4,76,65,1,0,1,0,10,0,10,0,10,0,10,0,42,0,42,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,201,136,66,,,,1,2,7,25,6,61,102,1,1,0,1,8,0,8,0,8,0,8,0,28,0,28,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,221,156,68,,,,8,52,4,32,4,87,42,1,0,1,0,12,0,12,0,12,0,12,0,48,0,48,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,583,289,123,,,,6,29,0,65,4,129,184,2,2,0,1,7,11,-4,11,7,0,7,0,54,0,54,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,1196,671,154,,,,4,61,6,139,19,305,237,4,0,4,0,39,0,39,0,38,0,38,0,123,0,123,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,459,245,102,,,,0,26,3,70,9,134,140,2,1,1,1,17,0,17,0,17,0,17,0,36,0,36,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,146,96,68,,,,0,57,1,26,0,51,51,1,0,1,0,10,0,10,0,10,0,10,0,8,0,8,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,195,119,27,,,,0,9,6,25,2,55,41,1,1,0,1,8,0,8,0,8,0,8,0,43,0,43,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,211,120,77,,,,0,64,4,27,3,53,51,1,0,1,0,10,4,6,4,10,1,9,0,36,0,36,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,265,142,134,,,,5,126,0,36,8,68,64,1,0,1,0,6,0,6,0,6,0,6,0,14,0,14,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,540,365,174,,,,2,68,16,70,13,153,252,2,0,2,0,33,0,33,0,32,0,32,0,118,0,118,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,469,304,87,,,,8,10,4,69,5,133,128,2,0,2,0,16,0,16,0,16,0,16,0,77,0,77,0,FEBRUARI,
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,463,262,64,,,,0,3,4,61,3,131,122,2,0,2,0,15,0,15,0,15,0,15,0,58,0,58,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,483,306,268,,,,117,257,20,64,3,119,130,1,0,1,0,18,1,17,1,17,0,17,0,37,0,37,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,366,252,170,,,,123,85,7,57,7,119,71,1,0,1,0,5,0,5,0,5,0,5,0,36,1,35,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,398,217,81,,,,28,31,3,50,8,99,71,1,2,-1,2,21,3,18,1,20,0,20,0,49,1,48,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,531,325,178,,,,73,120,5,96,8,132,85,1,0,1,0,12,1,11,1,12,0,12,0,64,2,62,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,606,345,200,,,,8,145,10,93,11,130,163,1,0,1,0,25,9,16,9,24,0,24,0,73,0,73,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,531,325,244,,,,8,226,9,72,8,126,98,1,0,1,0,24,0,24,0,23,0,23,0,73,0,73,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,523,290,114,,,,36,61,0,89,7,131,105,1,0,1,0,6,1,5,1,6,0,6,0,51,4,47,3,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,252,151,68,,,,11,10,2,32,2,78,92,1,0,1,0,9,0,9,0,9,0,9,0,22,4,18,1,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,864,580,319,,,,45,199,8,113,13,319,273,3,0,3,0,46,26,20,26,45,4,41,1,59,0,59,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,291,168,67,,,,12,30,1,31,3,85,64,1,0,1,0,13,0,13,0,13,0,13,0,20,0,20,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,281,159,55,,,,6,29,1,39,10,75,64,1,0,1,0,4,0,4,0,4,0,4,0,32,0,32,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,213,142,59,,,,11,31,1,34,5,79,42,1,0,1,0,6,0,6,0,6,0,6,0,39,0,39,0,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,237,146,52,,,,3,36,5,35,3,70,49,1,0,1,0,8,0,8,0,8,0,8,0,40,2,38,2,FEBRUARI,
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,283,165,52,,,,10,29,1,35,6,82,45,1,0,1,0,7,0,7,0,7,0,7,0,29,0,29,0,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,356,253,132,,,,42,83,3,56,1,84,74,1,1,0,1,24,1,23,1,23,0,23,0,28,0,28,0,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,355,237,143,,,,62,124,10,56,3,60,112,1,0,1,0,9,0,9,0,9,0,9,0,14,2,12,2,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,250,158,81,,,,4,68,2,29,2,70,67,1,0,1,0,10,8,2,8,10,0,10,0,9,2,7,1,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,367,229,63,,,,20,38,6,55,5,91,68,1,0,1,0,8,0,8,0,8,0,8,0,30,0,30,0,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,282,186,84,,,,35,41,7,51,2,94,67,1,1,0,0,9,7,2,7,9,0,9,0,24,0,24,0,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,269,169,17,,,,0,10,2,32,5,64,21,1,0,1,0,7,7,0,7,7,0,7,0,23,4,19,0,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,365,221,99,,,,36,54,2,65,0,77,78,1,0,1,0,9,10,-1,10,9,0,9,0,19,0,19,0,FEBRUARI,
SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,337,250,167,,,,39,129,9,63,2,89,106,1,0,1,0,9,8,1,8,9,0,9,0,32,6,26,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,ARALLE,242,152,76,,,,17,60,0,38,2,70,40,0,0,0,0,2,0,2,0,2,0,2,0,28,0,28,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,ARALLE SELATAN,70,67,26,,,,18,5,1,13,1,28,22,1,0,1,0,9,3,6,0,9,0,9,0,15,0,15,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,ARALLE UTARA,172,119,50,,,,9,16,1,28,1,35,71,0,0,0,0,5,1,4,1,5,0,5,0,16,0,16,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,BARURU,201,123,82,,,,0,77,6,18,2,38,39,1,0,1,0,0,0,0,0,0,0,0,0,21,0,21,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,HAHANGAN,80,47,24,,,,22,3,1,10,0,21,10,0,0,0,0,5,0,5,0,5,0,5,0,8,0,8,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,KALABE,138,94,64,,,,62,64,1,17,0,43,19,1,0,1,0,2,3,-1,0,2,0,2,0,14,2,12,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,PAMOSEANG PANGGA,71,63,41,,,,31,36,2,16,1,31,29,0,1,-1,1,12,0,12,0,12,1,11,1,18,2,16,2,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,PANETEAN,163,100,24,,,,3,7,3,25,0,33,32,1,0,1,0,5,0,5,0,5,0,5,0,16,0,16,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,RALLE ANAK,78,54,20,,,,7,6,0,7,0,24,24,0,0,0,0,2,0,2,0,2,0,2,0,6,0,6,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,RALLEANAK UTARA,101,63,35,,,,26,5,1,20,0,26,27,0,0,0,0,3,0,3,0,3,0,3,0,8,0,8,0,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,UHAIDAHO,150,107,51,,,,46,7,3,23,3,59,40,1,0,1,0,9,5,4,0,9,1,8,0,20,6,14,1,FEBRUARI,
SULAWESI BARAT,MAMASA,ARALLE,UHAILANU,210,149,80,,,,60,51,2,31,5,59,55,1,0,1,0,12,6,6,6,12,2,10,1,31,0,31,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,BALLA,329,218,39,,,,17,11,0,42,1,55,44,1,0,1,0,3,0,3,0,3,0,3,0,26,0,26,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,BALLA BARAT,236,127,62,,,,9,47,2,21,0,28,34,1,0,1,0,2,0,2,0,2,0,2,0,11,0,11,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,334,192,70,,,,2,58,3,37,1,45,37,1,0,1,0,12,0,12,0,12,0,12,0,32,0,32,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,BALLA TIMUR,75,49,43,,,,1,43,2,5,0,12,6,1,0,1,0,6,0,6,0,6,0,6,0,2,0,2,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,BALLA TUMUKA,280,142,106,,,,2,100,6,29,0,36,32,0,0,0,0,1,0,1,0,1,0,1,0,21,0,21,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,BAMBAPUANG,160,89,17,,,,0,9,1,10,0,20,34,1,0,1,0,1,0,1,0,1,0,1,0,5,0,5,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,PIDARA,152,88,55,,,,10,52,3,11,0,17,19,1,0,1,0,2,0,2,0,2,0,2,0,12,0,12,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BALLA,SEPAKUAN,335,196,117,,,,73,58,1,48,1,62,26,1,0,1,0,5,3,2,1,5,0,5,0,15,5,10,3,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,BALATANA,119,65,61,,,,21,61,0,2,0,12,8,0,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG,333,191,101,,,,50,69,4,29,2,66,29,1,1,0,1,5,0,5,0,5,0,5,0,41,0,41,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG TIMUR,194,103,93,,,,0,90,0,19,1,28,41,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,LIMBADEBATA,193,124,17,,,,0,17,0,21,1,37,3,0,0,0,0,1,0,1,0,1,0,1,0,26,0,26,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,MASOSO,120,65,10,,,,1,3,1,15,0,17,15,1,0,1,0,6,0,6,0,6,0,6,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,MINANGA,390,211,138,,,,0,132,2,17,1,43,55,0,0,0,0,7,2,5,2,7,0,7,0,41,0,41,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,MOKALLANG,123,53,52,,,,0,52,0,6,0,21,10,1,0,1,0,3,0,3,0,3,0,3,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,RANTELEMO,108,63,3,,,,1,0,0,12,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,RANTETARIMA,85,37,29,,,,0,29,0,6,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALUASSING,228,160,9,,,,0,9,0,22,1,70,2,0,0,0,0,10,0,10,0,10,0,10,0,17,0,17,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALUBULO,131,81,36,,,,0,31,1,20,0,32,16,1,0,1,0,5,0,5,0,5,0,5,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALUDENGEN,145,59,38,,,,6,23,0,13,0,17,22,0,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALUKADI,190,98,13,,,,1,9,0,17,0,33,15,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALUKEPOPOK,266,157,48,,,,4,12,4,31,0,39,94,1,0,1,0,3,0,3,0,3,0,3,0,15,0,15,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALURURU,83,41,0,,,,0,0,0,3,0,10,12,0,0,0,0,2,0,2,0,2,0,2,0,5,0,5,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,93,46,35,,,,26,34,0,9,0,20,6,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,SIKAMASE,102,61,44,,,,9,43,2,9,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,109,68,13,,,,0,2,2,7,1,17,21,0,0,0,0,6,0,6,0,6,0,6,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI,181,107,104,,,,2,104,1,18,6,43,31,1,0,1,0,6,0,6,0,6,0,6,0,24,0,24,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI BARAT,151,78,36,,,,17,30,1,7,0,24,9,1,0,1,0,0,5,-5,4,0,1,-1,0,5,0,5,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,ARALLE TIMUR,172,115,90,,,,66,51,2,14,1,46,38,1,0,1,0,5,0,5,0,5,0,5,0,21,0,21,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,BUNTUMALANGKA,254,153,60,,,,30,31,1,33,0,63,33,1,0,1,0,8,0,8,0,8,0,8,0,17,0,17,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KABAE,142,96,8,,,,2,0,3,24,1,18,22,0,0,0,0,6,1,5,1,6,0,6,0,12,1,11,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KEBANGA,122,76,76,,,,58,76,1,14,3,38,37,0,0,0,0,10,0,10,0,10,0,10,0,23,4,19,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,PENATANGAN,200,147,118,,,,35,81,6,33,9,68,40,1,0,1,0,13,0,13,0,13,0,13,0,63,2,61,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,RANTEBERAN,292,167,95,,,,8,91,2,29,2,66,31,1,0,1,0,8,0,8,0,8,0,8,0,33,0,33,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALURINDU,109,78,37,,,,38,1,0,14,1,34,16,0,0,0,0,4,0,4,0,4,0,4,0,16,0,16,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN,138,43,40,,,,39,2,0,11,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN BARAT,157,87,59,,,,56,12,0,16,2,23,21,0,0,0,0,2,0,2,0,2,0,2,0,8,1,7,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN TIMUR,126,77,8,,,,5,3,2,10,0,14,28,0,0,0,0,5,0,5,0,5,0,5,0,8,0,8,0,FEBRUARI,
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,TAORA,115,56,56,,,,56,1,0,8,0,20,5,0,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,FEBRUARI,
SULAWESI BARAT,MAMASA,MAMASA,BOMBONG LAMBE,346,211,145,,,,3,137,0,57,3,77,74,1,0,1,0,6,0,6,0,6,0,6,0,3,0,3,0,FEBRUARI,
